,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_RSI(C,14)","Exit_RSI(C,14)"
106,1,974,975,95.9512710571289,95.24462890625,,,-0.7066421508789062,-0.007364593955802579,2022-11-11,2022-11-14,3 days,,24.47224689049301,33.49359846287304
107,1,981,982,96.58821868896484,97.99151611328125,,,1.4032974243164062,0.014528660362143508,2022-11-22,2022-11-23,1 days,,29.01656588858485,26.871058462880498
108,1,982,983,97.99151611328125,96.99626922607422,,,-0.9952468872070312,-0.010156459729192213,2022-11-23,2022-11-25,2 days,,26.871058462880498,30.223528552569576
109,1,986,987,100.50946807861328,100.50946807861328,,,0.0,0.0,2022-11-30,2022-12-01,1 days,,25.062032194898464,29.360467211628603
110,1,987,988,100.50946807861328,99.96208953857422,,,-0.5473785400390625,-0.005446039567246874,2022-12-01,2022-12-02,1 days,,29.360467211628603,29.560982308736655
111,1,988,989,99.96208953857422,99.00665283203125,,,-0.9554367065429688,-0.00955799054374784,2022-12-02,2022-12-05,3 days,,29.560982308736655,31.758027721821264
112,1,1073,1074,107.90411376953125,105.93354034423828,,,-1.9705734252929688,-0.0182622641199931,2023-04-06,2023-04-10,4 days,,23.17802078303376,31.92261006522118
113,1,1077,1078,106.9188232421875,108.35197448730469,,,1.4331512451171875,0.013404106046611464,2023-04-13,2023-04-14,1 days,,26.638174161119423,25.616426401679306
114,1,1078,1079,108.35197448730469,105.46577453613281,,,-2.886199951171875,-0.026637262171074205,2023-04-14,2023-04-17,3 days,,25.616426401679306,27.10144278532701
115,1,1079,1080,105.46577453613281,104.00276947021484,,,-1.4630050659179688,-0.013871846789659137,2023-04-17,2023-04-18,1 days,,27.10144278532701,27.37920168360567
116,1,1080,1081,104.00276947021484,103.68428802490234,,,-0.3184814453125,-0.0030622400435568187,2023-04-18,2023-04-19,1 days,,27.37920168360567,28.813552348361327
117,1,1081,1082,103.68428802490234,104.78901672363281,,,1.1047286987304688,0.010654735830998296,2023-04-19,2023-04-20,1 days,,28.813552348361327,34.18803581360255
118,1,1088,1089,106.82925415039062,106.6899185180664,,,-0.13933563232421875,-0.0013042834889408494,2023-04-28,2023-05-01,3 days,,25.764189139102413,25.110129474997862
119,1,1089,1090,106.6899185180664,104.81886291503906,,,-1.8710556030273438,-0.0175373233855316,2023-05-01,2023-05-02,1 days,,25.110129474997862,36.11649572124106
120,1,1183,1184,137.44290161132812,136.7462158203125,,,-0.696685791015625,-0.005068910673799443,2023-09-14,2023-09-15,1 days,,20.87431614252793,37.682796529440544
121,1,1222,1223,131.21266174316406,129.62030029296875,,,-1.5923614501953125,-0.012135730112023846,2023-11-08,2023-11-09,1 days,,24.29686993593245,25.91743045686256
122,1,1223,1224,129.62030029296875,131.9591064453125,,,2.33880615234375,0.01804351746645838,2023-11-09,2023-11-10,1 days,,25.91743045686256,26.484375756699748
123,1,1224,1225,131.9591064453125,131.46148681640625,,,-0.49761962890625,-0.003771013932353906,2023-11-10,2023-11-13,3 days,,26.484375756699748,35.38205437972658
124,1,1226,1227,132.9842071533203,133.9794464111328,,,0.9952392578125,0.007483890599618848,2023-11-14,2023-11-15,1 days,,20.601630409647115,18.29267572615693
125,1,1227,1228,133.9794464111328,136.27845764160156,,,2.29901123046875,0.017159432226745874,2023-11-15,2023-11-16,1 days,,18.29267572615693,18.553750399708477
126,1,1228,1229,136.27845764160156,134.66616821289062,,,-1.6122894287109375,-0.011830845876984464,2023-11-16,2023-11-17,1 days,,18.553750399708477,19.30692227911956
127,1,1229,1230,134.66616821289062,135.60169982910156,,,0.9355316162109375,0.006947042665771619,2023-11-17,2023-11-20,3 days,,19.30692227911956,21.149668158481276
128,1,1230,1231,135.60169982910156,136.31826782226562,,,0.7165679931640625,0.0052843584856765435,2023-11-20,2023-11-21,1 days,,21.149668158481276,30.063683589023384
129,1,1342,1343,166.44422912597656,167.3001708984375,,,0.8559417724609375,0.005142513963720008,2024-05-03,2024-05-06,3 days,,26.632302715202243,28.808867144296272
130,1,1343,1344,167.3001708984375,170.43515014648438,,,3.134979248046875,0.018738649406102592,2024-05-06,2024-05-07,1 days,,28.808867144296272,26.211859458922675
131,1,1344,1345,170.43515014648438,168.57406616210938,,,-1.861083984375,-0.010919601870714168,2024-05-07,2024-05-08,1 days,,26.211859458922675,27.34083199658248
132,1,1345,1346,168.57406616210938,169.15130615234375,,,0.577239990234375,0.0034242514484954523,2024-05-08,2024-05-09,1 days,,27.34083199658248,16.947371443222167
