,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_CMF(H,L,C,V)","Exit_CMF(H,L,C,V)"
136,1,713,718,322.0008850097656,326.3121032714844,,,4.31121826171875,0.013388839790263285,2021-10-29,2021-11-05,7 days,,0.2974698838339027,0.37624093653521035
137,1,714,719,319.8161926269531,327.2151794433594,,,7.39898681640625,0.02313512257034689,2021-11-01,2021-11-08,7 days,,0.32519216338846807,0.4174111558926761
138,1,715,720,323.4670715332031,326.205322265625,,,2.738250732421875,0.008465315246596328,2021-11-02,2021-11-09,7 days,,0.3438095348054998,0.42465213091281334
139,1,716,721,324.3118591308594,321.2047119140625,,,-3.107147216796875,-0.009580738814559231,2021-11-03,2021-11-10,7 days,,0.3232998503346991,0.3672278945145222
140,1,717,722,326.6810302734375,322.7874450683594,,,-3.893585205078125,-0.011918614318741194,2021-11-04,2021-11-11,7 days,,0.3828329045338095,0.33564460116721284
141,1,718,723,326.3121032714844,326.95294189453125,,,0.640838623046875,0.0019638824812873157,2021-11-05,2021-11-12,7 days,,0.37624093653521035,0.325246173446615
142,1,719,724,327.2151794433594,326.3218078613281,,,-0.89337158203125,-0.002730226585303863,2021-11-08,2021-11-15,7 days,,0.4174111558926761,0.2995412838246462
143,1,720,725,326.205322265625,329.66204833984375,,,3.45672607421875,0.010596780120601501,2021-11-09,2021-11-16,7 days,,0.42465213091281334,0.3226572100707074
144,1,721,726,321.2047119140625,329.88580322265625,,,8.68109130859375,0.027026662395028378,2021-11-10,2021-11-17,7 days,,0.3672278945145222,0.31200049055892354
145,1,722,727,322.7874450683594,331.9772644042969,,,9.1898193359375,0.028470188281304765,2021-11-11,2021-11-18,7 days,,0.33564460116721284,0.303267111629861
146,1,723,728,326.95294189453125,333.7671203613281,,,6.814178466796875,0.020841465525014202,2021-11-12,2021-11-19,7 days,,0.325246173446615,0.289960317530445
147,1,724,729,326.3218078613281,330.5764465332031,,,4.254638671875,0.013038168364411185,2021-11-15,2021-11-22,7 days,,0.2995412838246462,0.21928978767769067
148,1,725,730,329.66204833984375,328.4848937988281,,,-1.177154541015625,-0.0035707918061653743,2021-11-16,2021-11-23,7 days,,0.3226572100707074,0.2536642394863639
149,1,726,731,329.88580322265625,328.708740234375,,,-1.17706298828125,-0.0035680922815789495,2021-11-17,2021-11-24,7 days,,0.31200049055892354,0.26393423465329346
150,1,727,732,331.9772644042969,320.7027893066406,,,-11.27447509765625,-0.03396158805599914,2021-11-18,2021-11-26,8 days,,0.303267111629861,0.19108575894621907
151,1,728,733,333.7671203613281,327.463623046875,,,-6.303497314453125,-0.01888591454912969,2021-11-19,2021-11-29,10 days,,0.289960317530445,0.11889239525278031
152,1,729,734,330.5764465332031,321.5880126953125,,,-8.988433837890625,-0.027190182277513908,2021-11-22,2021-11-30,8 days,,0.21928978767769067,0.04887288223695433
153,1,730,735,328.4848937988281,321.0919189453125,,,-7.392974853515625,-0.022506285655995106,2021-11-23,2021-12-01,8 days,,0.2536642394863639,-0.05445192473739988
154,1,731,736,328.708740234375,320.5179748535156,,,-8.190765380859375,-0.024918003016954238,2021-11-24,2021-12-02,8 days,,0.26393423465329346,-0.10331647406769211
155,1,757,762,325.6347961425781,305.71240234375,,,-19.922393798828125,-0.061180174953125,2022-01-03,2022-01-10,7 days,,0.22765890982180406,0.04678140569006459
156,-1,770,775,287.9691162109375,299.86614990234375,,,-11.89703369140625,-0.041313575038691486,2022-01-21,2022-01-28,7 days,,-0.294941405388663,-0.18358199610700104
157,-1,772,777,280.6344299316406,300.3525085449219,,,-19.71807861328125,-0.0702625070561882,2022-01-25,2022-02-01,7 days,,-0.20422134388649382,-0.12888170007094385
158,-1,773,778,288.6305847167969,304.924560546875,,,-16.293975830078125,-0.05645270007011116,2022-01-26,2022-02-02,7 days,,-0.2335315061546729,-0.09823630473760792
159,-1,774,779,291.6754150390625,293.0469665527344,,,-1.371551513671875,-0.004702321289191236,2022-01-27,2022-02-03,7 days,,-0.2588784880379098,-0.0945964434680759
160,1,810,815,291.6156311035156,302.8646240234375,,,11.248992919921875,0.03857472549518026,2022-03-21,2022-03-28,7 days,,0.21585200635820773,0.23753788072750867
161,1,811,816,296.3920593261719,307.45587158203125,,,11.063812255859375,0.03732830184793823,2022-03-22,2022-03-29,7 days,,0.2527181582990723,0.2932952954400518
162,1,812,817,291.937255859375,305.9449462890625,,,14.0076904296875,0.04798185277330602,2022-03-23,2022-03-30,7 days,,0.2970233167789272,0.2634131672973989
163,1,813,818,296.4310302734375,300.5348815917969,,,4.103851318359375,0.013844202864234045,2022-03-24,2022-03-31,7 days,,0.265177444407919,0.23997106779098695
164,1,814,819,296.02166748046875,301.6169128417969,,,5.595245361328125,0.018901472344747594,2022-03-25,2022-04-01,7 days,,0.23879856873853247,0.2898160896878562
165,1,815,820,302.8646240234375,307.0268859863281,,,4.162261962890625,0.01374297832343907,2022-03-28,2022-04-04,7 days,,0.23753788072750867,0.4006822736328996
166,1,816,821,307.45587158203125,303.0400695800781,,,-4.415802001953125,-0.01436239281829732,2022-03-29,2022-04-05,7 days,,0.2932952954400518,0.40742961747821355
167,1,817,822,305.9449462890625,291.9470520019531,,,-13.997894287109375,-0.045752984178676015,2022-03-30,2022-04-06,7 days,,0.2634131672973989,0.32942363663826657
168,1,818,823,300.5348815917969,293.7698669433594,,,-6.7650146484375,-0.02250991503084865,2022-03-31,2022-04-07,7 days,,0.23997106779098695,0.31473785698955603
